School Level / Category,SNo.,School Code,School Name,Address
School Level: SSS,1,S0494,ASSAM LINGZEY GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Assam Lingzey, Pin: 737135"
School Level: SSS,2,S0253,BARIAKHOP GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Buriakhop, Pin: 737121"
School Level: SSS,3,S0397,BERMIOK TOKAL GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
School Level: SSS,4,S0188,BIRASPATI PARSAI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Ranipool, Pin: 737135"
School Level: SSS,5,S0257,BOJOGHARI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Bhojoghari, Pin: 737103"
School Level: SSS,6,S0099,CENTRAL PENDAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Upper Pendam, Pin: 737132"
School Level: SSS,7,S0536,CHAKUNG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Chumbong, Pin: 737121"
School Level: SSS,8,S0124,CHUJACHEN GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rongli Bazar, Pin: 737131"
School Level: SSS,9,S0530,DARAMDIN GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sombarey, Pin: 737122"
School Level: SSS,10,S0541,DARAP GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Gayzing, Pin: 737111"
School Level: SSS,11,S0754,DENTAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: SSS,12,S0458,DEORALI GIRLS GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Tadong, Pin: 737102"
School Level: SSS,13,S0466,DIKCHU GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Dikchu, Pin: 737107"
School Level: SSS,14,S0500,DIKLING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Pakyong, Pin: 737106"
School Level: SSS,15,S0488,ENCHEY GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Raj Bhawan, Pin: 737103"
School Level: SSS,16,S0012,HEE- GYATHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Mangan, Pin: 737116"
School Level: SSS,17,S0709,HEE YANGTHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Hee Gaon, Pin: 737113"
School Level: SSS,18,S0694,JORETHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Naya Bazar, Pin: 737121"
School Level: SSS,19,S0753,K.B.LIMBOO GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sribadam, Pin: 737121"
School Level: SSS,20,S0725,KALUK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Kaluk Bazar, Pin: 737114"
School Level: SSS,21,S0040,KALZANG GYATSO GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Kabi, Pin: 737117"
School Level: SSS,22,S0418,KEWZING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Kewzing, Pin: 737139"
School Level: SSS,23,S0487,KHAMDONG SONAMATI MEMORIAL GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Khamdong, Pin: 737134"
School Level: SSS,24,S0254,KHECHUPERI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Khechuperi, Pin: 737113"
School Level: SSS,25,S0403,KITAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Kitam, Pin: 737126"
School Level: SSS,26,S0265,KYONGSA GIRLS GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Gayzing, Pin: 737111"
School Level: SSS,27,S0271,LEGSHIP GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Legship, Pin: 737111"
School Level: SSS,28,S0248,LINGDOK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Lingdok, Pin: 737103"
School Level: SSS,29,S0565,LINGEE GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: SSS,30,S0568,LINGMOO-KOLTHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: SSS,31,S0101,MACHONG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Pakyong, Pin: 737106"
School Level: SSS,32,S0102,MAKHA GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Makha, Pin: 737138"
School Level: SSS,33,S0080,MAMRING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Bering, Pin: 737106"
School Level: SSS,34,S0749,MANGALBARIA GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Takuthang, Pin: 737121"
School Level: SSS,35,S0009,MANGAN GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Mangan, Pin: 737116"
School Level: SSS,36,S0018,MANGSHILA GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Tingchim, Pin: 737116"
School Level: SSS,37,S0507,MODERN GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Raj Bhawan, Pin: 737103"
School Level: SSS,38,S0652,NAMCHI GIRLS GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Namchi, Pin: 737126"
School Level: SSS,39,S0388,NAMCHI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Namchi, Pin: 737126"
School Level: SSS,40,S0391,NAMTHANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Namthang, Pin: 737137"
School Level: SSS,41,S0392,NANDUGAON GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Nandugaon, Pin: 737126"
School Level: SSS,42,S0580,PELLING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Pelling, Pin: 737113"
School Level: SSS,43,S0690,PERBING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Parbing, Pin: 737126"
School Level: SSS,44,S0003,PHODONG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Phodong, Pin: 737119"
School Level: SSS,45,S0198,RANGPO GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rongpo, Pin: 737132"
School Level: SSS,46,S0183,RANKA GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Dhajey, Pin: 737102"
School Level: SSS,47,S0655,RATEYPANI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rateypani, Pin: 737128"
School Level: SSS,48,S0134,RHENOCK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rhenock, Pin: 737133"
School Level: SSS,49,S0181,RUMTEK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Rumtek, Pin: 737135"
School Level: SSS,50,S0716,SADAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sadam, Pin: 737128"
School Level: SSS,51,S0476,SAMDONG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Samdong, Pin: 737107"
School Level: SSS,52,S0116,SANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sang, Pin: 737134"
School Level: SSS,53,S0132,SINGTAM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Singtam, Pin: 737134"
School Level: SSS,54,S0490,SIR TASHI NAMGYAL GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Gangtok Head Office, Pin: 737101"
School Level: SSS,55,S0531,SOMBAREY GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sombarey, Pin: 737122"
School Level: SSS,56,S0249,SORENG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Soreng, Pin: 737121"
School Level: SSS,57,S0384,SUMBUK GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sumbuk, Pin: 737128"
School Level: SSS,58,S0195,TADONG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Tadong, Pin: 737102"
School Level: SSS,59,S0268,TASHIDING GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Sinek, Pin: 737111"
School Level: SSS,60,S0402,TEMI GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
School Level: SSS,61,S0266,THARPU GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Tharpu, Pin: 737121"
School Level: SSS,62,S0407,VCGL RAVANGLA GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Ravangla, Pin: 737139"
School Level: SSS,63,S0508,WEST POINT GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Tashiling Secretariat, Pin: 737103"
School Level: SSS,64,S0566,YANGANG GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: SSS,65,S0555,YUKSOM GOVERNMENT SENIOR SECONDARY SCHOOL,"P.O. Yuksom, Pin: 737113"
School Level: SS,66,S0122,AHO-KISHAN GOVERNMENT SECONDARY SCHOOL,"P.O. Ranipool, Pin: 737135"
School Level: SS,67,S0097,AHO-SHANTI GOVERNMENT SECONDARY SCHOOL,"P.O. Pakyong, Pin: 737106"
School Level: SS,68,S0094,AMBA GOVERNMENT SECONDARY SCHOOL,"P.O. Amba, Pin: 737133"
School Level: SS,69,S0129,ARITAR GOVERNMENT SECONDARY SCHOOL,"P.O. Rhenock, Pin: 737133"
School Level: SS,70,S0432,ASSANGTHANG GOVERNMENT SECONDARY SCHOOL,"P.O. Assangthang, Pin: 737126"
School Level: SS,71,S0389,BEN GOVERNMENT SECONDARY SCHOOL,"P.O. Ben, Pin: 737139"
School Level: SS,72,S0270,BERMIOK MARTAM GOVERNMENT SECONDARY SCHOOL,"P.O. Bermiok, Pin: 737113"
School Level: SS,73,S0654,BIKMAT GOVERNMENT SECONDARY SCHOOL,"P.O. Rateypani, Pin: 737128"
School Level: SS,74,S0263,BONGTEN GOVERNMENT SECONDARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: SS,75,S0523,BORONG GOVERNMENT SECONDARY SCHOOL,"P.O. Ravangla, Pin: 737139"
School Level: SS,76,S0421,BURUL GOVERNMENT SECONDARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
School Level: SS,77,S0659,C.M.RAI GOVERNMENT SECONDARY SCHOOL (OMCHU),"P.O. Vok, Pin: 737126"
School Level: SS,78,S0678,CHANDRA MAN RAI GOVERNMENT SECONDARY SCHOOL (JARRONG),"P.O. Ravangla, Pin: 737139"
School Level: SS,79,S0345,CHOTA SAMDONG GOVERNMENT SECONDARY SCHOOL,"P.O. Arubotey, Pin: 737121"
School Level: SS,80,S0719,CHUBA GOVERNMENT SECONDARY SCHOOL (S),"P.O. Parbing, Pin: 737126"
School Level: SS,81,S0260,CHUMBONG GOVERNMENT SECONDARY SCHOOL,"P.O. Chumbong, Pin: 737121"
School Level: SS,82,S0106,DALAPCHAND GOVERNMENT SECONDARY SCHOOL,"P.O. Dalapchhen, Pin: 737131"
School Level: SS,83,S0599,DAMTHANG GOVERNMENT SECONDARY SCHOOL,"P.O. Namchi, Pin: 737126"
School Level: SS,84,S0556,DODAK GOVERNMENT SECONDARY SCHOOL,"P.O. Buriakhop, Pin: 737121"
School Level: SS,85,S0111,DUGA GOVERNMENT SECONDARY SCHOOL,"P.O. Duga, Pin: 737132"
School Level: SS,86,S0264,GANGYAP GOVERNMENT SECONDARY SCHOOL (W),"P.O. Yuksom, Pin: 737113"
School Level: SS,87,S0517,GELLING GOVERNMENT SECONDARY SCHOOL,"P.O. Chakung, Pin: 737127"
School Level: SS,88,S0281,GERETHANG GOVERNMENT SECONDARY SCHOOL,"P.O. Gerethang, Pin: 737111"
School Level: SS,89,S0015,GOR GOVERNMENT SECONDARY SCHOOL,"P.O. Gor, Pin: 737107"
School Level: SS,90,S0742,HATHIDHUNGA GOVERNMENT SECONDARY SCHOOL,"P.O. Rinchenpong, Pin: 737111"
School Level: SS,91,S0398,JERMAN LEPCHA GOVERNMENT SECONDARY SCHOOL,"P.O. Turuk, Pin: 737126"
School Level: SS,92,S0396,KABREY GOVERNMENT SECONDARY SCHOOL,"P.O. Namthang, Pin: 737137"
School Level: SS,93,S0258,KAMLING GOVERNMENT SECONDARY SCHOOL,"P.O. Suldung, Pin: 737121"
School Level: SS,94,S0401,KAMRANG GOVERNMENT SECONDARY SCHOOL,"P.O. Namchi, Pin: 737126"
School Level: SS,95,S0290,KARJEE GOVERNMENT SECONDARY SCHOOL,"P.O. Karjee, Pin: 737111"
School Level: SS,96,S0695,KATENG GOVERNMENT SECONDARY SCHOOL,"P.O. Namthang, Pin: 737137"
School Level: SS,97,S0259,KHANDU GOVERNMENT SECONDARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: SS,98,S0807,KHANISERBONG GOVERNMENT SECONDARY SCHOOL,"P.O. Arubotey, Pin: 737121"
School Level: SS,99,S0360,LABDANG GOVERNMENT SECONDARY SCHOOL,"P.O. Karjee, Pin: 737111"
School Level: SS,100,S0011,LACHEN GOVERNMENT SECONDARY SCHOOL,"P.O. Lachen, Pin: 737120"
School Level: SS,101,S0756,LACHUNG GOVERNMENT SECONDARY SCHOOL,"P.O. Lachung, Pin: 737120"
School Level: SS,102,S0280,LANGANG GOVERNMENT SECONDARY SCHOOL,"P.O. Yangthang, Pin: 737111"
School Level: SS,103,S0317,LINGCHOM GOVERNMENT SECONDARY SCHOOL,"P.O. Lingchom, Pin: 737111"
School Level: SS,104,S0665,LINGEE PAIYONG GOVERNMENT SECONDARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: SS,105,S0112,LINGTAM GOVERNMENT SECONDARY SCHOOL,"P.O. Lingtam, Pin: 737101"
School Level: SS,106,S0083,LINKEY GOVERNMENT SECONDARY SCHOOL,"P.O. Lingkey, Pin: 737106"
School Level: SS,107,S0323,LOWER BERMIOK GOVERNMENT SECONDARY SCHOOL,"P.O. Bermiok, Pin: 737113"
School Level: SS,108,S0470,LOWER SAMDONG GOVERNMENT SECONDARY SCHOOL (EAST),"P.O. Raley Khesey, Pin: 737107"
School Level: SS,109,S0243,LOWER SUMIN GOVERNMENT SECONDARY SCHOOL,"P.O. Sangkhola, Pin: 737134"
School Level: SS,110,S0506,LOWER SYARI GOVERNMENT SECONDARY SCHOOL,"P.O. Tadong, Pin: 737102"
School Level: SS,111,S0177,LUING GOVERNMENT SECONDARY SCHOOL,"P.O. Gangtok Bazar, Pin: 737101"
School Level: SS,112,S0535,LUNGCHOK GOVERNMENT SECONDARY SCHOOL,"P.O. Sombarey, Pin: 737122"
School Level: SS,113,S0133,MAJHITAR GOVERNMENT SECONDARY SCHOOL,"P.O. Majhitar, Pin: 737135"
School Level: SS,114,S0405,MANIRAM GOVERNMENT SECONDARY SCHOOL,"P.O. Maniram, Pin: 737126"
School Level: SS,115,S0013,MANUL GOVERNMENT SECONDARY SCHOOL,"P.O. Manul, Pin: 737116"
School Level: SS,116,S0123,MARTAM GOVERNMENT SECONDARY SCHOOL,"P.O. Nazitam, Pin: 737134"
School Level: SS,117,S0699,MELLI BAZAR GOVERNMENT SECONDARY SCHOOL,"P.O. Melli Bazar, Pin: 737128"
School Level: SS,118,S0774,MELLI GUMPA GOVERNMENT SECONDARY SCHOOL,"P.O. Sumbuk, Pin: 737128"
School Level: SS,119,S0287,MELLI-ACHING GOVERNMENT SECONDARY SCHOOL,"P.O. Melli-Aching, Pin: 737113"
School Level: SS,120,S0128,MIDDLE CAMP GOVERNMENT SECONDARY SCHOOL,"P.O. Middle Camp, Pin: 737135"
School Level: SS,121,S0319,MIDDLE GEYZING GOVERNMENT SECONDARY SCHOOL,"P.O. Gayzing, Pin: 737111"
School Level: SS,122,S0251,MUKRUNG GOVERNMENT SECONDARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: SS,123,S0399,N.T.L.VOK GOVERNMENT SECONDARY SCHOOL,"P.O. Namchi, Pin: 737126"
School Level: SS,124,S0100,NAMCHEYBONG GOVERNMENT SECONDARY SCHOOL,"P.O. Pakyong, Pin: 737106"
School Level: SS,125,S0412,NAMCHI NEW GOVERNMENT SECONDARY SCHOOL,"P.O. Namchi, Pin: 737126"
School Level: SS,126,S0394,NAMPHING GOVERNMENT SECONDARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
School Level: SS,127,S0569,NAMPHOK GOVERNMENT SECONDARY SCHOOL,"P.O. Ravangla, Pin: 737139"
School Level: SS,128,S0231,NANDOK GOVERNMENT SECONDARY SCHOOL,"P.O. Ranipool, Pin: 737135"
School Level: SS,129,S0558,NEH BROOM GOVERNMENT SECONDARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: SS,130,S0583,OKHREY GOVERNMENT SECONDARY SCHOOL,"P.O. Okharey, Pin: 737121"
School Level: SS,131,S0701,PABONG DARING GOVERNMENT SECONDARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
School Level: SS,132,S0408,PABONG GOVERNMENT SECONDARY SCHOOL,"P.O. Pabong, Pin: 737126"
School Level: SS,133,S0510,PABYUIK GOVERNMENT SECONDARY SCHOOL,"P.O. Pabyuk, Pin: 737102"
School Level: SS,134,S0226,PACHAK GOVERNMENT SECONDARY SCHOOL,"P.O. Duga, Pin: 737132"
School Level: SS,135,S0082,PACHEY GOVERNMENT SECONDARY SCHOOL,"P.O. Pakyong, Pin: 737106"
School Level: SS,136,S0085,PACHEYKHANI GOVERNMENT SECONDARY SCHOOL,"P.O. Pacheykhani, Pin: 737106"
School Level: SS,137,S0244,PADAMCHEY GOVERNMENT SECONDARY SCHOOL,"P.O. Duga, Pin: 737132"
School Level: SS,138,S0272,PAKKIGAON GOVERNMENT SECONDARY SCHOOL,"P.O. Malbasey, Pin: 737121"
School Level: SS,139,S0023,PASSINGDANG GOVERNMENT SECONDARY SCHOOL,"P.O. Lingthem, Pin: 737116"
School Level: SS,140,S0515,PENLONG GOVERNMENT SECONDARY SCHOOL,"P.O. Penlong, Pin: 737103"
School Level: SS,141,S0121,PHADAMCHEN GOVERNMENT SECONDARY SCHOOL,"P.O. Phadamchen, Pin: 737131"
School Level: SS,142,S0001,PHENSONG GOVERNMENT SECONDARY SCHOOL,"P.O. Phensong, Pin: 737118"
School Level: SS,143,S0600,PHONG GOVERNMENT SECONDARY SCHOOL,"P.O. Namthang, Pin: 737137"
School Level: SS,144,S0279,PIPALAY GOVERNMENT SECONDARY SCHOOL,"P.O. Naya Bazaar, Pin: 737121"
School Level: SS,145,S0204,RALAP GOVERNMENT SECONDARY SCHOOL,"P.O. Makha, Pin: 737138"
School Level: SS,146,S0414,RALONG RANGCHANG GOVERNMENT SECONDARY SCHOOL,"P.O. Ralang, Pin: 737139"
School Level: SS,147,S0256,RESHI GOVERNMENT SECONDARY SCHOOL,"P.O. Reshi, Pin: 737121"
School Level: SS,148,S0592,RIBDI GOVERNMENT SECONDARY SCHOOL,"P.O. Okharey, Pin: 737121"
School Level: SS,149,S0755,RIMBIK GOVERNMENT SECONDARY SCHOOL,"P.O. Nambu, Pin: 737113"
School Level: SS,150,S0743,RINCHENPONG GOVERNMENT SECONDARY SCHOOL,"P.O. Rinchenpong, Pin: 737111"
School Level: SS,151,S0028,RINGHIM GOVERNMENT SECONDARY SCHOOL,"P.O. Mangan, Pin: 737116"
School Level: SS,152,S0135,ROLEP GOVERNMENT SECONDARY SCHOOL,"P.O. Rongli Bazar, Pin: 737131"
School Level: SS,153,S0410,RONG GOVERNMENT SECONDARY SCHOOL,"P.O. Kitam, Pin: 737126"
School Level: SS,154,S0158,RORATHANG GOVERNMENT SECONDARY SCHOOL,"P.O. Rorathang, Pin: 737133"
School Level: SS,155,S0269,SAKYONG GOVERNMENT SECONDARY SCHOOL,"P.O. Yangtey, Pin: 737111"
School Level: SS,156,S0653,SALGHARI GOVERNMENT SECONDARY SCHOOL,"P.O. Salghari, Pin: 737126"
School Level: SS,157,S0511,SANG TSHALUMTHANG GOVERNMENT SECONDARY SCHOOL,"P.O. Sangkhola, Pin: 737134"
School Level: SS,158,S0675,SANGANATH GOVERNMENT SECONDARY SCHOOL,"P.O. Sanganath, Pin: 737121"
School Level: SS,159,S0404,SANGMOO GOVERNMENT SECONDARY SCHOOL,"P.O. Ravangla, Pin: 737139"
School Level: SS,160,S0232,SICHEY GOVERNMENT SECONDARY SCHOOL,"P.O. Sinchey Goan, Pin: 737101"
School Level: SS,161,S0016,SINGHIK GOVERNMENT SECONDARY SCHOOL,"P.O. Singhik, Pin: 737116"
School Level: SS,162,S0126,SIRWANI GOVERNMENT SECONDARY SCHOOL,"P.O. Singtam, Pin: 737134"
School Level: SS,163,S0017,SONAM CHODA LEPCHA MEMORIAL SECONDARY SCHOOL(LINGDONG),"P.O. Sankalang, Pin: 737116"
School Level: SS,164,S0711,SOPAKHA GOVERNMENT SECONDARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: SS,165,S0095,SUDUNGLAKHA GOVERNMENT SECONDARY SCHOOL,"P.O. Sudunglakha, Pin: 737133"
School Level: SS,166,S0205,SUMIN LINGCHEY GOVERNMENT SECONDARY SCHOOL,"P.O. Singtam, Pin: 737134"
School Level: SS,167,S0120,SYAPLAY SARDARAY GOVERNMENT SECONDARY SCHOOL,"P.O. West Pendam, Pin: 737134"
School Level: SS,168,S0110,TAREYTHANG GOVERNMENT SECONDARY SCHOOL,"P.O. Bering, Pin: 737106"
School Level: SS,169,S0406,TARKU GOVERNMENT SECONDARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
School Level: SS,170,S0474,TARPIN GOVERNMENT SECONDARY SCHOOL,"P.O. Rhenock, Pin: 737133"
School Level: SS,171,S0014,TASA TENGAY GOVERNMENT SECONDARY SCHOOL,"P.O. Chungthang, Pin: 737120"
School Level: SS,172,S0586,TIKPUR GOVERNMENT SECONDARY SCHOOL,"P.O. Sombarey, Pin: 737122"
School Level: SS,173,S0262,TIMBURBUNG GOVERNMENT SECONDARY SCHOOL,"P.O. Timberbong, Pin: 737121"
School Level: SS,174,S0041,TINGCHIM GOVERNMENT SECONDARY SCHOOL,"P.O. Tingchim, Pin: 737116"
School Level: SS,175,S0426,TINGLEY GOVERNMENT SECONDARY SCHOOL,"P.O. Parbing, Pin: 737126"
School Level: SS,176,S0628,TINGMOO GOVERNMENT SECONDARY SCHOOL,"P.O. Tingmo, Pin: 737139"
School Level: SS,177,S0020,TINGVONG GOVERNMENT SECONDARY SCHOOL,"P.O. Tingvong, Pin: 737116"
School Level: SS,178,S0464,TUMIN GOVERNMENT SECONDARY SCHOOL,"P.O. Tumin, Pin: 737134"
School Level: SS,179,S0393,TURUK GOVERNMENT SECONDARY SCHOOL,"P.O. Turuk, Pin: 737126"
School Level: SS,180,S0332,UTTAREY GOVERNMENT SECONDARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: SS,181,S0715,YANGSUM GOVERNMENT SECONDARY SCHOOL,"P.O. Rinchenpong, Pin: 737111"
School Level: SS,182,S0267,ZOOM GOVERNMENT SECONDARY SCHOOL,"P.O. Zoom, Pin: 737121"
School Level: JHS,183,S0237,4TH MILE GOVERNMENT JUNIOR HIGH SCHOOL,"P.O. Raj Bhawan, Pin: 737103"
School Level: JHS,184,S0218,ADAMPOOL GOVERNMENT JUNIOR HIGH SCHOOL,"P.O. Rawtey Rumtek, Pin: 737135"
School Level: JHS,185,S0364,AGRINAYA BUSTY GOVERNMENT JUNIOR HIGH SCHOOL,"P.O. Gayzing, Pin: 737111"
School Level: JHS,186,S0596,ALLEYDARA GOVERNMENT JUNIOR HIGH SCHOOL,"P.O. Maniram, Pin: 737126"
School Level: JHS,187,S0300,BAJEK GOVERNMENT JUNIOR HIGH SCHOOL,"P.O. Tharpu, Pin: 737121"
School Level: JHS,188,S0497,BARAPATHING GOVERNMENT JUNIOR HIGH SCHOOL,"P.O. Latuk, Pin: 737131"
